Adrenal,Anus,Appendix,Bile Duct,Bladder,Bone,Brain,Branchial Cyst,Breast,Cervix,Colon,Diaphragm,Duodenum,Esophagus,Eye,Gallbladder,Heart,Kidney,Lg Intestine,Larynx,Lip,Liver,Lung,LN (reg),LN (dist),Omentum,Ovaries,Pancreas,Penis,Pericardium,Peritoneum,Pharynx,Pleura,Prostate,Rectum,Retroperitoneum,Salivary,Skeletal Musc,Skin,Sm Intestine,Spleen,Stomach,Testes,Thyroid,Tongue,Tonsil,Unknown,Uterus,Vagina,Vulva
0.0929190516,0.0000000000,0.0000000000,0.0000000000,0.0017816447,0.0616255424,0.0230358169,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0190903021,0.0000000000,0.0000000000,0.0000000000,0.0096324529,0.0265072092,0.0469275622,0.0141380459,0.0000000000,0.0000000000,0.0951543801,0.0791280245,0.1869619127,0.1230209962,0.0067249874,0.0000000000,0.0371969891,0.0000000000,0.0203339460,0.0203435162,0.0000000000,0.0435042715,0.0016624604,0.0000000000,0.0000000000,0.0000000000,0.0031315862,0.0136254312,0.0098825215,0.0286260648,0.0078899088,0.0000000000,0.0237367448,0.0000000000,0.0000000000,0.0000000000,0.0016956464,0.0017229842,0.0000000000
0.0920985659,0.0000000000,0.0000000000,0.0000000000,0.0019910757,0.0615809625,0.0233818297,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0193080026,0.0000000000,0.0000000000,0.0000000000,0.0096542794,0.0267528460,0.0473523677,0.0141916652,0.0000000000,0.0000000000,0.0949986994,0.0791329455,0.1866386054,0.1232733128,0.0067048676,0.0000000000,0.0361895188,0.0000000000,0.0202875194,0.0209903439,0.0000000000,0.0429641252,0.0016868389,0.0000000000,0.0000000000,0.0000000000,0.0031135532,0.0140173066,0.0099266448,0.0286087818,0.0079312268,0.0000000000,0.0234441826,0.0000000000,0.0000000000,0.0000000000,0.0019934901,0.0017864425,0.0000000000
0.0922034525,0.0000000000,0.0000000000,0.0000000000,0.0019380490,0.0615661992,0.0236693290,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0192929279,0.0000000000,0.0000000000,0.0000000000,0.0096703207,0.0258443267,0.0472455037,0.0142505271,0.0000000000,0.0000000000,0.0953131372,0.0791705147,0.1870708274,0.1229967634,0.0069453112,0.0000000000,0.0364370073,0.0000000000,0.0200157837,0.0207374627,0.0000000000,0.0432081228,0.0017209157,0.0000000000,0.0000000000,0.0000000000,0.0031882829,0.0139564803,0.0098536800,0.0284308649,0.0079279824,0.0000000000,0.0235414052,0.0000000000,0.0000000000,0.0000000000,0.0019986463,0.0018061763,0.0000000000
0.0921821500,0.0000000000,0.0000000000,0.0000000000,0.0019236753,0.0615734828,0.0237489239,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0192083423,0.0000000000,0.0000000000,0.0000000000,0.0096736047,0.0263236936,0.0459249798,0.0144360387,0.0000000000,0.0000000000,0.0951446142,0.0794473440,0.1872062684,0.1230084757,0.0066870546,0.0000000000,0.0360432840,0.0000000000,0.0202635824,0.0216960780,0.0000000000,0.0432441092,0.0017291734,0.0000000000,0.0000000000,0.0000000000,0.0032176167,0.0141829901,0.0098927081,0.0285861730,0.0080288830,0.0000000000,0.0229552893,0.0000000000,0.0000000000,0.0000000000,0.0019308509,0.0017406139,0.0000000000
0.0919327176,0.0000000000,0.0000000000,0.0000000000,0.0020077319,0.0615959120,0.0231869215,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0191017267,0.0000000000,0.0000000000,0.0000000000,0.0096687156,0.0269617114,0.0475525024,0.0142168766,0.0000000000,0.0000000000,0.0951533711,0.0795074757,0.1865070117,0.1230302873,0.0067822540,0.0000000000,0.0362014989,0.0000000000,0.0201515535,0.0207285601,0.0000000000,0.0432900225,0.0017129654,0.0000000000,0.0000000000,0.0000000000,0.0031618987,0.0139205175,0.0098921076,0.0287183122,0.0080294608,0.0000000000,0.0232472835,0.0000000000,0.0000000000,0.0000000000,0.0019756178,0.0017649861,0.0000000000
0.0926678353,0.0000000000,0.0000000000,0.0000000000,0.0018230166,0.0615508868,0.0233207809,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0192197349,0.0000000000,0.0000000000,0.0000000000,0.0096625152,0.0272786040,0.0472760103,0.0144995096,0.0000000000,0.0000000000,0.0945218967,0.0789679230,0.1860097165,0.1231226965,0.0065785450,0.0000000000,0.0363748872,0.0000000000,0.0204568453,0.0207835348,0.0000000000,0.0430946081,0.0017386932,0.0000000000,0.0000000000,0.0000000000,0.0032401344,0.0140621810,0.0098173000,0.0283093620,0.0080614529,0.0000000000,0.0238385533,0.0000000000,0.0000000000,0.0000000000,0.0020140893,0.0017086870,0.0000000000
0.0917026406,0.0000000000,0.0000000000,0.0000000000,0.0018898980,0.0615215306,0.0229959825,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0190460090,0.0000000000,0.0000000000,0.0000000000,0.0096656144,0.0269087612,0.0465502201,0.0142288557,0.0000000000,0.0000000000,0.0948047242,0.0801861067,0.1865350811,0.1231260939,0.0068137632,0.0000000000,0.0363663169,0.0000000000,0.0204127875,0.0211525465,0.0000000000,0.0431519068,0.0017491339,0.0000000000,0.0000000000,0.0000000000,0.0031613212,0.0137912569,0.0098878548,0.0287510513,0.0079998343,0.0000000000,0.0238264465,0.0000000000,0.0000000000,0.0000000000,0.0020315057,0.0017427564,0.0000000000
0.0922094383,0.0000000000,0.0000000000,0.0000000000,0.0020065746,0.0614995677,0.0232948642,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0192251175,0.0000000000,0.0000000000,0.0000000000,0.0096858773,0.0261778148,0.0470250414,0.0142418428,0.0000000000,0.0000000000,0.0951508048,0.0794308947,0.1868731373,0.1231584950,0.0067329302,0.0000000000,0.0363614289,0.0000000000,0.0200100621,0.0207737341,0.0000000000,0.0433065360,0.0017098528,0.0000000000,0.0000000000,0.0000000000,0.0031596234,0.0140947036,0.0098239429,0.0286938011,0.0079921298,0.0000000000,0.0234856353,0.0000000000,0.0000000000,0.0000000000,0.0020807526,0.0017953968,0.0000000000
0.0916336805,0.0000000000,0.0000000000,0.0000000000,0.0019606022,0.0616428624,0.0233307400,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0192010075,0.0000000000,0.0000000000,0.0000000000,0.0096288184,0.0267114314,0.0467082816,0.0139899191,0.0000000000,0.0000000000,0.0948921019,0.0799839957,0.1884153255,0.1231229034,0.0067754072,0.0000000000,0.0352695439,0.0000000000,0.0202357217,0.0209512557,0.0000000000,0.0432153404,0.0017233443,0.0000000000,0.0000000000,0.0000000000,0.0032173546,0.0138342725,0.0098085950,0.0284607321,0.0079483024,0.0000000000,0.0236455366,0.0000000000,0.0000000000,0.0000000000,0.0019587219,0.0017342022,0.0000000000
0.0926291992,0.0000000000,0.0000000000,0.0000000000,0.0021694563,0.0616689701,0.0235552774,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0190565285,0.0000000000,0.0000000000,0.0000000000,0.0096458074,0.0263850579,0.0472031825,0.0143120084,0.0000000000,0.0000000000,0.0944920147,0.0789090245,0.1863318084,0.1232813208,0.0067928326,0.0000000000,0.0359391732,0.0000000000,0.0202288135,0.0212013869,0.0000000000,0.0434536988,0.0017530063,0.0000000000,0.0000000000,0.0000000000,0.0030956743,0.0142647324,0.0098010894,0.0285228259,0.0079660039,0.0000000000,0.0235058926,0.0000000000,0.0000000000,0.0000000000,0.0020700818,0.0017651323,0.0000000000
